Organism,network,molnet_string,modeled_lability,activity,log2_change,N,P,C,NOSC
Turf,923,Organic compounds;Benzenoids;Benzene and substituted derivatives;nan,-288.94776446956934,depletolite,-3.0116877009787153,0,0,11,-0.7333333333333334
Turf,1332,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,-3.738812688960256,depletolite,-8.869046546964718,2,0,29,-0.5517241379310347
Turf,1370,Organic compounds;Organoheterocyclic compounds;Pyrans;Pyranones and derivatives,-3.612428466550031,depletolite,-4.4616313979164435,1,1,7,-1.8571428571428568
Turf,1583,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Piperidinones,-3.7041349711477762,depletolite,-3.757352857982205,1,0,18,-1.2222222222222223
Turf,1730,Organic compounds;Phenylpropanoids and polyketides;Macrolactams;nan,-5.061836707426376,depletolite,-3.4954109802141793,6,0,18,-0.33333333333333304
Turf,1827,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;nan,-3.5366322923416584,depletolite,-5.515337107517592,4.5,0.5,15,-0.4457013574660631
Turf,2261,Organic compounds;Organoheterocyclic compounds;Tetrahydroisoquinolines;nan,-3.4305568473629604,depletolite,-3.7000492176189232,1,0,12,-0.33333333333333304
Turf,2393,Organic compounds;Benzenoids;Phenol ethers;nan,-2.653925377986055,depletolite,-8.437862281434477,1,0,18,-1.1111111111111107
Turf,3585,Organic compounds;Organoheterocyclic compounds;Pyrrolidines;nan,-2.7860610214168338,depletolite,-0.9557083693146017,1,0,16,-1.625
Turf,4021,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;nan,-3.6127940397987777,depletolite,-8.475499607212546,5,0,22,-0.2727272727272725
